#Frequency	Mic 1	Mic 2
923.000	1.522	0.033
924.000	1.508	0.034
925.000	1.507	0.035
926.000	1.513	0.034
927.000	1.493	0.035
928.000	1.479	0.036
929.000	1.475	0.036
930.000	1.462	0.036
931.000	1.457	0.037
932.000	1.443	0.031
933.000	1.446	0.032
934.000	1.425	0.040
935.000	1.422	0.039
936.000	1.425	0.035
937.000	1.424	0.035
938.000	1.407	0.034
939.000	1.396	0.036
940.000	1.393	0.033
941.000	1.394	0.034
942.000	1.377	0.036
943.000	1.366	0.037
944.000	1.356	0.033
945.000	1.362	0.033
946.000	1.345	0.033
947.000	1.341	0.035
948.000	1.332	0.035
949.000	1.333	0.036
950.000	1.325	0.031
951.000	1.322	0.032
952.000	1.315	0.031
953.000	1.309	0.033
954.000	1.301	0.038
955.000	1.302	0.038
956.000	1.291	0.034
957.000	1.279	0.032
958.000	1.284	0.032
959.000	1.270	0.038
960.000	1.263	0.033
961.000	1.260	0.031
962.000	1.258	0.035
963.000	1.254	0.031
964.000	1.252	0.037
965.000	1.244	0.033
966.000	1.244	0.033
967.000	1.229	0.035
968.000	1.227	0.032
969.000	1.230	0.032
970.000	1.219	0.032
971.000	1.203	0.035
972.000	1.207	0.032
973.000	1.208	0.034
974.000	1.196	0.039
975.000	1.196	0.035
976.000	1.195	0.033
977.000	1.192	0.032
978.000	1.177	0.035
979.000	1.170	0.033
980.000	1.178	0.036
981.000	1.168	0.038
982.000	1.164	0.036
983.000	1.157	0.034
984.000	1.149	0.037
985.000	1.166	0.033
986.000	1.142	0.037
987.000	1.131	0.031
988.000	1.134	0.030
989.000	1.130	0.030
990.000	1.129	0.031
991.000	1.133	0.035
992.000	1.111	0.039
993.000	1.128	0.060
994.000	1.130	0.049
995.000	1.111	0.034
996.000	1.105	0.033
997.000	1.101	0.031
998.000	1.096	0.041
999.000	1.104	0.030
1000.000	1.080	0.032
1001.000	1.080	0.035
1002.000	1.081	0.033
1003.000	1.084	0.032
1004.000	1.100	0.054
1005.000	1.077	0.035
1006.000	1.068	0.037
1007.000	1.062	0.034
1008.000	1.050	0.040
1009.000	1.057	0.034
1010.000	1.063	0.066
1011.000	1.060	0.037
1012.000	1.043	0.035
1013.000	1.037	0.034
1014.000	1.028	0.028
1015.000	1.041	0.032
1016.000	1.029	0.034
1017.000	1.028	0.035
1018.000	1.015	0.031
1019.000	1.011	0.034
1020.000	1.029	0.034
1021.000	1.048	0.095
1022.000	1.020	0.047
1023.000	1.002	0.032
1024.000	1.004	0.031
1025.000	1.011	0.029
1026.000	1.009	0.049
1027.000	0.997	0.033
1028.000	0.998	0.034
1029.000	1.000	0.028
1030.000	0.979	0.032
1031.000	0.980	0.031
1032.000	0.986	0.042
1033.000	0.989	0.104
1034.000	0.995	0.096
1035.000	0.989	0.040
1036.000	0.998	0.059
1037.000	0.983	0.035
1038.000	0.974	0.036
1039.000	0.969	0.035
1040.000	0.962	0.039
1041.000	0.975	0.034
1042.000	0.959	0.029
1043.000	0.960	0.032
1044.000	0.947	0.031
1045.000	0.946	0.031
1046.000	0.943	0.029
1047.000	0.935	0.028
1048.000	0.935	0.031
1049.000	0.949	0.032
1050.000	0.952	0.052
1051.000	0.958	0.085
1052.000	0.944	0.036
1053.000	0.937	0.097
1054.000	0.936	0.074
1055.000	0.930	0.051
1056.000	0.923	0.043
1057.000	0.918	0.036
1058.000	0.907	0.044
1059.000	0.916	0.036
1060.000	0.900	0.031
1061.000	0.899	0.028
1062.000	0.900	0.032
1063.000	0.896	0.032
1064.000	0.901	0.036
1065.000	0.902	0.028
1066.000	0.901	0.034
1067.000	0.902	0.039
1068.000	0.902	0.034
1069.000	0.896	0.034
1070.000	0.880	0.031
1071.000	0.879	0.030
1072.000	0.886	0.030
1073.000	0.885	0.034
1074.000	0.888	0.043
1075.000	0.871	0.030
1076.000	0.857	0.028
1077.000	0.844	0.027
1078.000	0.860	0.030
1079.000	0.852	0.032
1080.000	0.871	0.027
1081.000	0.866	0.029
1082.000	0.861	0.029
1083.000	0.864	0.028
1084.000	0.848	0.026
1085.000	0.854	0.030
1086.000	0.849	0.028
1087.000	0.848	0.031
1088.000	0.840	0.031
1089.000	0.850	0.033
1090.000	0.844	0.045
1091.000	0.851	0.051
1092.000	0.869	0.051
1093.000	0.847	0.029
1094.000	0.838	0.031
1095.000	0.838	0.052
1096.000	0.862	0.038
1097.000	0.823	0.030
1098.000	0.831	0.033
1099.000	0.834	0.030
1100.000	0.853	0.031
1101.000	0.826	0.037
1102.000	0.870	0.053
1103.000	0.834	0.043
1104.000	0.817	0.034
1105.000	0.824	0.032
1106.000	0.812	0.031
1107.000	0.818	0.032
1108.000	0.829	0.035
1109.000	0.856	0.054
1110.000	0.850	0.058
1111.000	0.808	0.030
1112.000	0.815	0.029
1113.000	0.800	0.034
1114.000	0.792	0.036
1115.000	0.799	0.030
1116.000	0.800	0.034
1117.000	0.794	0.035
1118.000	0.796	0.033
1119.000	0.787	0.029
1120.000	0.796	0.033
1121.000	0.798	0.034
1122.000	0.781	0.030
1123.000	0.787	0.036
1124.000	0.774	0.036
1125.000	0.819	0.077
1126.000	0.781	0.044
